Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0976887110638127,1.77635683940025E-15,-0.157720206093335,0,0,0,14.1869508369142,0.588462273329024,-1.04590253472189E-08,0.0697327503182638,1.47677539724383,9.62796658784312E-10,1.79873438535669,0,0,0,0,0,0,package://agv6_varo/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/base_link.STL,,Body-1,Body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link,0,-0.016602338839462,-1.66533453693773E-16,0,0,0,0.52936994072617,0.000772904303756457,-8.70667323830793E-20,-3.67109231972611E-34,0.0013878620871552,6.44417065836E-18,0.000772904303756456,0,0,0,0,0,0,package://agv6_varo/meshes/Left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/Left_Link.STL,,Wheel-2,Left,Mid,Left_Joint,continuous,0.110000000000006,0.229999999999991,-0.239999999999994,0,0,0,base_link,0,1,0,,,,,,,,,,,,
Right_Link,-5.55111512312578E-16,0.016602338839462,-4.49640324973188E-15,0,0,0,0.529369940726169,0.000772904303756456,8.70716048896513E-20,1.91778702835882E-34,0.0013878620871552,2.16984719145409E-18,0.000772904303756456,0,0,0,0,0,0,package://agv6_varo/meshes/Right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/Right_Link.STL,,Wheel-1,Right,Mid,Right_Joint,continuous,0.110000000000006,-0.230000000000006,-0.239999999999996,0,0,0,base_link,0,1,0,,,,,,,,,,,,
LFcon_Link,-0.00121269193407092,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.61473826778216E-06,5.74914433529925E-21,-5.64302073523239E-07,8.11210346787568E-06,-2.41003008634718E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv6_varo/meshes/LFcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/LFcon_Link.STL,,Wheelcon-2,LFcon,LF,LFcon_Joint,continuous,0.560363870782178,0.190000000000007,-0.244999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LF_Link,0,-0.00649999999999995,-5.55111512312578E-17,0,0,0,0.0364111988779923,8.56927811367131E-06,3.75198100318771E-25,2.71591299799106E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv6_varo/meshes/LF_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/LF_Link.STL,,FB_wheel-2,LeftF,Front,LF_Joint,continuous,-0.00786387078217188,0.00649999999998607,-0.0400000000000009,0,0,0,LFcon_Link,0,1,0,,,,,,,,,,,,
RFcon_Link,-0.00121269193407114,-5.55111512312578E-17,-0.000415480513364208,0,0,0,0.0257521038737953,8.61473826778217E-06,5.33540318368168E-21,-5.6430207352324E-07,8.11210346787568E-06,-1.91553632751115E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv6_varo/meshes/RFcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/RFcon_Link.STL,,Wheelcon-1,RFcon,RF,RFcon_Joint,continuous,0.560363870782182,-0.189999999999993,-0.244999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RF_Link,0,0.00650000000000001,0,0,0,0,0.0364111988779923,8.56927811367131E-06,1.67531682123137E-26,1.40097792434919E-38,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv6_varo/meshes/RF_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/RF_Link.STL,,FB_wheel-1,RightF,Front,RF_Joint,continuous,-0.00786387078217587,-0.00650000000001394,-0.0400000000000023,0,0,0,RFcon_Link,0,1,0,,,,,,,,,,,,
LBcon_Link,-0.00121269193407098,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.6147382677822E-06,4.01804975449147E-21,-5.64302073523249E-07,8.11210346787572E-06,-1.01632154557052E-20,4.80769500241318E-06,0,0,0,0,0,0,package://agv6_varo/meshes/LBcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/LBcon_Link.STL,,Wheelcon-4,LBcon,LB,LBcon_Joint,continuous,-0.239636129217822,0.189999999999999,-0.245000000000001,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LB_Link,0,-0.00649999999999995,0,0,0,0,0.0364111988779923,8.56927811367131E-06,-3.41691763893479E-25,1.40097792434932E-38,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv6_varo/meshes/LB_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/LB_Link.STL,,FB_wheel-4,LeftB,Back,LB_Joint,continuous,-0.00786387078217188,0.00649999999999451,-0.0399999999999985,0,0,0,LBcon_Link,0,-1,0,,,,,,,,,,,,
RBcon_Link,-0.00121269193407103,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.61473826778216E-06,3.62531542895807E-21,-5.64302073523249E-07,8.11210346787568E-06,-1.08923608136537E-20,4.80769500241318E-06,0,0,0,0,0,0,package://agv6_varo/meshes/RBcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/RBcon_Link.STL,,Wheelcon-3,RBcon,RB,RBcon_Joint,continuous,-0.239636129217818,-0.190000000000001,-0.245000000000001,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RB_Link,0,0.00650000000000001,0,0,0,0,0.0364111988779923,8.56927811367131E-06,1.67531682123109E-26,2.71591299799105E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv6_varo/meshes/RB_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/RB_Link.STL,,FB_wheel-3,RightB,Back,RB_Joint,continuous,-0.00786387078217587,-0.00650000000000545,-0.0399999999999999,0,0,0,RBcon_Link,0,-1,0,,,,,,,,,,,,
Sensor_Link,-0.00254436416091663,-8.32667268468867E-15,-4.9960036108132E-16,0,0,0,0.193830128132172,0.00410299707197696,-1.44297382400964E-18,5.47904290451065E-20,9.85671925445419E-05,1.62556294831296E-10,0.00400522777358793,0,0,0,0,0,0,package://agv6_varo/meshes/Sensor_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv6_varo/meshes/Sensor_Link.STL,,Sensor-2,Sensor,Axis_Sensor_Joint,Sensor_Joint,fixed,0.625000000000006,0,-0.19,0,0,0,base_link,0,0,0,,,,,,,,,,,,
